table_name,field_class,banned_in_target_input,n_columns
historical_gpm_precip_features,historical_output_or_calibration,True,36
historical_gpm_precip_features,metadata_or_index,False,4
historical_gpm_precip_features,target_available_input,False,6
historical_gpm_track_interpolated_clean,historical_output_or_calibration,True,36
historical_gpm_track_interpolated_clean,metadata_or_index,False,14
historical_gpm_track_interpolated_clean,target_available_input,False,17
historical_gpm_track_interpolated_clean,target_available_input_review,False,6
historical_gpm_track_model_features,historical_output_or_calibration,True,44
historical_gpm_track_model_features,metadata_or_index,False,16
historical_gpm_track_model_features,target_available_input,False,44
historical_gpm_track_model_features_interp,historical_output_or_calibration,True,44
historical_gpm_track_model_features_interp,metadata_or_index,False,15
historical_gpm_track_model_features_interp,target_available_input,False,44
historical_gpm_track_model_features_interp,target_available_input_review,False,6
historical_gpm_track_model_features_interp_env,historical_output_or_calibration,True,56
historical_gpm_track_model_features_interp_env,metadata_or_index,False,15
historical_gpm_track_model_features_interp_env,review_unknown,False,5
historical_gpm_track_model_features_interp_env,target_available_input,False,44
historical_gpm_track_model_features_interp_env,target_available_input_review,False,6
target_track_with_coast,metadata_or_index,False,9
target_track_with_coast,target_available_input,False,15
