track_event_uid,track_typhoon_name,gpm_frame_count
CH2023_0003,MAWAR,709
CH2021_0017,CHANTHU,661
CH2018_0030,YUTU,637
CH2015_0014,SOUDELOR,637
CH2017_0019,TALIM,625
CH2015_0006,NOUL,600
CH2023_0010,SAOLA,577
CH2022_0012,HINNAMNOR,575
CH2019_0003,WUTIP,565
CH2021_0014,OMAIS,553
CH2021_0011,LUPIT,540
CH2019_0012,LEKIMA,517
CH2019_0030,KALMAEGI,517
CH2023_0016,KOINU,517
CH2022_0014,MUIFA,511
CH2023_0006,DOKSURI,504
CH2018_0009,MARIA,481
CH2014_0010,RAMMASUN,469
CH2020_0023,ATSANI,457
CH2024_0022,TRAMI,457
CH2015_0024,CHOI-WAN,445
CH2015_0025,KOPPU,433
CH2020_0001,VONGFONG,433
CH2014_0011,MATMO,433
CH2018_0017,YAGI,427
CH2015_0022,DUJUAN,421
CH2016_0018,MALAKAS,421
CH2022_0003,CHABA,409
CH2016_0016,MERANTI,397
CH2016_0024,HAIMA,397
CH2019_0022,MITAG,385
CH2020_0025,VAMCO,385
CH2021_0012,MIRINAE,373
CH2022_0026,NALGAE,373
CH2014_0019,FUNG-WONG,361
CH2016_0023,SARIKA,361
CH2018_0023,CIMARON,361
CH2016_0002,NEPARTAK,361
CH2018_0005,EWINIAR,361
CH2024_0020,KRATHON,349
CH2020_0019,SAUDEL,349
CH2020_0005,JANGMI,337
CH2020_0009,BAVI,337
CH2014_0008,HAGIBIS,337
CH2021_0009,CEMPAKA,337
CH2018_0007,GAEMI,325
CH2018_0021,RUMBIA,313
CH2024_0027,USAGI,313
CH2014_0018,KALMAEGI,313
CH2019_0014,BAILU,301
CH2016_0022,SONGDA,297
CH2017_0010,NESAT,289
CH2014_0013,NAKRI,289
CH2024_0005,PRAPIROON,289
CH2022_0017,TALAS,289
CH2019_0031,FUNG-WONG,289
CH2019_0015,PODUL,277
CH2017_0007,KULAP,270
CH2022_0023,NESAT,265
CH2023_0005,TALIM,265
CH2017_0027,HAIKUI,265
CH2017_0014,HATO,253
CH2017_0020,DOKSURI,253
CH2015_0008,KUJIRA,241
CH2024_0016,SOULIK,241
CH2022_0010,MA-ON,241
CH2017_0004,NANMADOL,240
CH2016_0010,DIANMU,229
CH2022_0005,SONGDA,228
CH2019_0010,WIPHA,217
CH2014_0026,JANGMI,217
CH2020_0002,NURI,217
CH2016_0006,NIDA,217
CH2021_0013,NIDA,210
CH2024_0018,CIMARON,205
CH2017_0017,MAWAR,205
CH2015_0023,MUJIGAE,205
CH2021_0020,LIONROCK,205
CH2017_0015,PAKHAR,193
CH2023_0018,SANBA,187
CH2017_0003,MERBOK,181
CH2019_0019,NAMELESS,181
CH2017_0018,GUCHOL,181
CH2017_0005,TALAS,169
CH2020_0017,NANGKA,169
CH2020_0008,HIGOS,163
CH2022_0025,NAMELESS,157
CH2018_0012,NAMELESS,157
CH2018_0024,NAMELESS,157
CH2024_0002,MALIKSI,145
CH2014_0007,MITAG,145
CH2022_0008,MULAN,133
CH2020_0003,SINLAKU,133
CH2016_0005,MIRINAE,133
CH2015_0013,NAMELESS,133
CH2019_0007,MUN,133
CH2021_0005,KOGUMA,121
CH2014_0015,NAMELESS,121
CH2020_0006,MEKKHALA,109
CH2024_0003,NAMELESS,109
CH2017_0008,ROKE,109
CH2023_0015,NAMELESS,97
CH2016_0001,NAMELESS,97
CH2017_0022,NAMELESS,97
CH2024_0017,NAMELESS,97
CH2016_0015,MALOU,97
CH2014_0017,NAMELESS,97
CH2017_0021,NAMELESS,97
CH2021_0007,NAMELESS,97
CH2022_0007,NAMELESS,49
