metric,count,mean,std,min,10%,25%,50%,75%,90%,max
rain_front_ratio,33310.0,0.5413080223421246,0.20042092738469353,0.0004975910725715629,0.28271580527498746,0.39581119789686525,0.5279572030249388,0.6868780620433915,0.8233950460224027,0.9984066635377622
rain_back_ratio,33310.0,0.4586919776578754,0.20042092738469353,0.001593336462237806,0.17660495397759743,0.3131219379566084,0.4720427969750613,0.6041888021031347,0.7172841947250127,0.9995024089274285
rain_left_ratio,33310.0,0.5501314704552749,0.20110062763031897,0.002418257078638854,0.2670736604687413,0.40556056510318333,0.5692478198705928,0.705735919839402,0.8044449242027798,0.9913776755448279
rain_right_ratio,33310.0,0.4498685295447251,0.20110062763031897,0.008622324455172109,0.19555507579722028,0.29426408016059796,0.43075218012940714,0.5944394348968167,0.7329263395312587,0.9975817429213611
rain_front_back_asym,33310.0,0.0826160446842492,0.40084185476938705,-0.9990048178548568,-0.4345683894500252,-0.2083776042062695,0.055914406049877435,0.37375612408678316,0.6467900920448052,0.9968133270755244
rain_left_right_asym,33310.0,0.10026294091054978,0.40220125526063794,-0.9951634858427223,-0.46585267906251737,-0.18887886979363333,0.13849563974118573,0.4114718396788041,0.6088898484055595,0.9827553510896557
rain_front_left_ratio,33310.0,0.30169634418631,0.18546738781177283,0.0,0.08402515711777572,0.1547182383779801,0.27268561596519125,0.41973276817816124,0.5667234226618019,0.956430514282185
rain_front_right_ratio,33310.0,0.23961167815581466,0.1698927247851696,0.00033233423494651926,0.06067994548980896,0.11266759375919107,0.19532428049935907,0.3267853851090971,0.49496628613608123,0.9432546311476657
rain_back_left_ratio,33310.0,0.24843512626896494,0.16034959884802952,0.0,0.04673848696262885,0.11933362031437421,0.23155999363844487,0.35668349408334526,0.46846547939722183,0.8957599355028367
rain_back_right_ratio,33310.0,0.2102568513889105,0.13759910218964833,0.0005329318470887624,0.05060577704446342,0.104300681307686,0.189632179624263,0.29020802180212457,0.39425535142388035,0.9247766842941931
rain_front_area_10_grid,33310.0,200.78501951365956,191.79645136768016,0.0,19.0,63.0,150.0,282.0,444.0,2126.0
rain_back_area_10_grid,33310.0,158.9638847193035,171.0727182086252,0.0,4.0,33.0,104.0,230.0,384.0,1511.0
rain_left_area_10_grid,33310.0,211.28706094265985,205.23105992736086,0.0,12.0,56.0,156.0,307.0,483.0,2149.0
rain_right_area_10_grid,33310.0,148.46184329030322,155.77343491459953,0.0,9.0,39.0,102.0,206.0,347.0,1850.0
rain_front_area_10_km2,33310.0,22911.014568718387,21788.177368286397,0.0,2071.894421601423,7111.484884028394,17158.93925838961,32378.422673607245,50899.231657914774,254706.91371881476
rain_back_area_10_km2,33310.0,18374.42349164803,19905.88821374786,0.0,460.1750957238051,3753.584907340518,11962.583599566384,26598.663598423365,44639.69515350089,178603.2567641172
rain_left_area_10_km2,33310.0,24333.902662331708,23869.076128454246,0.0,1275.4471105582875,6346.451976925813,17761.900191318447,35483.35029550475,55958.643311120046,257462.44477033534
rain_right_area_10_km2,33310.0,16951.53539803471,17769.02363385097,0.0,947.32235075227,4393.305750806952,11591.6925695573,23513.613828173162,39773.775931835225,214952.67380020878
rainband_angle_to_motion_deg,33310.0,44.91935319475003,26.563586605680044,0.006609456805733771,8.399431265493059,21.644698875572765,44.84053778011838,68.53854738425888,81.45017319104859,89.99936383503137
