field_index,target_id,typhoon_name,time,lat,lon_180,WND,PRES,intensity,move_speed_kmh,move_dir_deg,signed_coast_dist_km,is_land,life_progress,final_rain_mean_mmhr,final_rain_max_mmhr,final_rain_p50_mmhr,final_rain_p75_mmhr,final_rain_p90_mmhr,final_rain_p95_mmhr,final_rain_p99_mmhr,final_rain_sum_halfhour_mm,final_rain_volume_proxy_mm_km2,final_rain_area_1_km2,final_rain_area_5_km2,final_rain_area_10_km2,final_rain_area_20_km2,final_heavy_rain_fraction_10,final_centroid_x_front_km,final_centroid_y_left_km,final_centroid_offset_km,final_centroid_angle_deg,final_asym_front_back_ratio,final_asym_left_right_ratio,final_quad_front_left_sum,final_quad_front_right_sum,final_quad_back_left_sum,final_quad_back_right_sum,final_quad_front_left_ratio,final_quad_front_right_ratio,final_quad_back_left_ratio,final_quad_back_right_ratio,final_anisotropy,final_rain_radius_r50_km,final_rain_radius_r80_km,final_rain_radius_r90_km,final_rain_band_width_km,cumulative_volume_proxy_mm_km2,cumulative_area_time_10_km2_h,cumulative_area_time_20_km2_h,cumulative_max_rain_mmhr_so_far,cumulative_max_p95_mmhr_so_far,blend_rain_max_mmhr,blend_rain_p95_mmhr,calibrated_rain_max_mmhr,calibrated_rain_p95_mmhr,target_rain_max_mmhr,target_rain_p95_mmhr,target_rain_p99_mmhr,corr_blend_calibrated,max_scale_factor,calibration_ok,target_rain_area_10_km2,target_rain_area_20_km2,target_cap_mmhr,blend_rain_p99_mmhr,blend_rain_area_10_km2,blend_rain_area_20_km2,blend_centroid_offset_km,blend_anisotropy,blend_rain_radius_r50_km,blend_rain_radius_r80_km,blend_rain_radius_r90_km,blend_rain_band_width_km,calibrated_rain_mean_mmhr,calibrated_rain_p50_mmhr,calibrated_rain_p75_mmhr,calibrated_rain_p90_mmhr,calibrated_rain_p99_mmhr,calibrated_rain_sum_halfhour_mm,calibrated_rain_volume_proxy_mm_km2,calibrated_rain_area_1_km2,calibrated_rain_area_5_km2,calibrated_rain_area_10_km2,calibrated_rain_area_20_km2,calibrated_heavy_rain_fraction_10,calibrated_centroid_x_front_km,calibrated_centroid_y_left_km,calibrated_centroid_offset_km,calibrated_centroid_angle_deg,calibrated_asym_front_back_ratio,calibrated_asym_left_right_ratio,calibrated_quad_front_left_sum,calibrated_quad_front_right_sum,calibrated_quad_back_left_sum,calibrated_quad_back_right_sum,calibrated_quad_front_left_ratio,calibrated_quad_front_right_ratio,calibrated_quad_back_left_ratio,calibrated_quad_back_right_ratio,calibrated_anisotropy,calibrated_rain_radius_r50_km,calibrated_rain_radius_r80_km,calibrated_rain_radius_r90_km,calibrated_rain_band_width_km,ratio_calibrated_to_target_rain_max,ratio_calibrated_to_target_rain_p95,ratio_calibrated_to_target_rain_p99,ratio_calibrated_to_target_area_10,ratio_calibrated_to_target_area_20,ratio_calibrated_to_blend_rain_max,ratio_calibrated_to_blend_rain_p95,ratio_calibrated_to_blend_rain_p99,ratio_calibrated_to_blend_area_10,rmse_blend_calibrated,mean_scale_factor,p95_scale_factor,rain_max_capped_flag,rain_max_capped_cell_count,calibration_issue,area10_action,area10_adjusted_cells
0,KONG-REY_20241024180000,KONG-REY,2024-10-24 18:00:00,12.8,146.5,15.0,1000.0,1,29.32178275930589,300.3861659356267,194.37915273623383,0,0.0,0.4962473897767044,38.28501892089844,0.1196548864245414,0.2955296337604522,0.6353200078010559,2.274096727371216,7.345135688781738,10024.445397184318,1002444.539718432,321600.0,78200.0,28000.0,5500.0,0.0069305215217445,78.33331255486549,87.70967936670594,117.59717560566074,48.232032214167475,1.721675594703762,2.231983397429804,4240.612347069604,1809.4067817695657,2334.9033810939254,1185.6175028912255,0.4230271280903693,0.1804994401264128,0.2329209535870939,0.1182726281520017,0.4095114687599875,242.07437133789065,608.7692260742188,916.787841796875,674.7134704589844,1002444.539718432,14000.0,2750.0,38.28501892089844,2.274096727371216,7.657003402709961,0.9846680164337158,38.28501892089844,2.274096727371216,39.529520042637174,2.2740967382078026,7.87628021790477,0.9545604583480914,5.000000476837158,True,32682.048183941675,9925.13833491617,69.0625,2.448378562927246,0.0,0.0,134.07910432145715,0.4274210578915202,408.53396431630995,857.0297544426331,994.6356116689168,586.1016473526067,0.4962473897767044,0.1196548864245414,0.2955296337604522,0.6353200078010559,7.345135688781738,10024.445397184318,1002444.539718432,321600.0,78200.0,28000.0,5500.0,0.0069305215217445,78.33331255486549,87.70967936670594,117.59717560566074,48.232032214167475,1.721675594703762,2.231983397429804,4240.612347069604,1809.4067817695657,2334.9033810939254,1185.6175028912255,0.4230271280903693,0.1804994401264128,0.2329209535870939,0.1182726281520017,0.4095114687599875,242.07437133789065,608.7692260742188,916.787841796875,674.7134704589844,0.9685171709548612,0.9999999952347732,0.9325640385526652,0.8567394504288688,0.5541484475487116,5.000000249098575,2.309506035960801,3.0,,1.2597934343361108,1.1140260696411133,2.3095059394836426,False,0,,skipped,0
1,KONG-REY_20241024183000,KONG-REY,2024-10-24 18:30:00,12.866666666668824,146.38333333332957,15.250000000008084,999.833333333328,1,29.32178275930589,300.3861659356267,179.55461291141867,0,0.0023809523809523,0.4959632714477994,39.73927307128906,0.1267464756965637,0.296819657087326,0.6231896877288818,2.3155627250671387,7.323738098144531,10018.706064881271,1001870.606488127,317700.0,76200.0,27100.0,6300.0,0.0067077547585455,79.86340869721381,82.29221534687319,114.67420265881232,45.858126048507074,1.6694742496679662,2.1448102082489364,4077.691885092762,1885.013186209071,2387.708945158914,1188.625410708366,0.4070078370086492,0.1881493651976314,0.2383250820710858,0.1186406111738194,0.3731986187442325,247.38633728027344,608.0296020507812,905.5385131835938,658.1521759033203,2004315.1462065591,27550.0,5900.0,39.73927307128906,2.3155627250671387,8.211383819580078,0.9801342487335204,39.73927307128906,2.3155627250671387,39.739272230868934,2.315562844022951,7.950954815867234,0.9574822800762666,4.839534282684326,True,33359.462295027086,9896.0992799482,58.23750019073486,2.441246032714844,0.0,0.0,130.2016801280699,0.3957431906012481,415.9326868617084,848.645980371085,992.0181449953424,576.0854581336339,0.4959632714477994,0.1267464756965637,0.296819657087326,0.6231896877288818,7.323738098144531,10018.706064881271,1001870.606488127,317700.0,76200.0,27100.0,6300.0,0.0067077547585455,79.86340869721381,82.29221534687319,114.67420265881232,45.858126048507074,1.6694742496679662,2.1448102082489364,4077.691885092762,1885.013186209071,2387.708945158914,1188.625410708366,0.4070078370086492,0.1881493651976314,0.2383250820710858,0.1186406111738194,0.3731986187442325,247.38633728027344,608.0296020507812,905.5385131835938,658.1521759033203,1.0000000211483522,0.99999994862769,0.9211142897616518,0.8123632137811709,0.6366144701847593,4.839534230092935,2.362495472491846,2.9999999999999996,,1.2634200891777645,1.114530086517334,2.3624954223632812,False,0,,skipped,0
2,KONG-REY_20241024190000,KONG-REY,2024-10-24 19:00:00,12.933333333329022,146.2666666666742,15.499999999983832,999.6666666666774,1,29.31598305729829,300.39287544182486,164.73007308852104,0,0.0047619047619047,0.4952483322400294,39.49062728881836,0.1271363198757171,0.2999775409698486,0.6333751678466797,2.3443329334259033,7.344089984893799,10004.263935414714,1000426.3935414716,317900.0,75000.0,27000.0,5400.0,0.0066830028959679,78.74955595578211,83.18037822996546,114.54461089773264,46.56736978870606,1.6534650304859737,2.1132578166832903,4040.6510034868697,1893.5586843181363,2390.9283430718538,1203.7399754818762,0.4038928830319159,0.1892751627248668,0.2389909301181127,0.1203226927291154,0.3797431264594966,250.0,612.698974609375,907.8546142578124,657.8546142578125,3004741.5397480307,41050.0,8600.0,39.73927307128906,2.3443329334259033,8.517746925354004,0.991275668144226,39.49062728881836,2.3443329334259033,39.49062527507587,2.3443329101201025,8.011675385539302,0.9604214088426806,4.6362762451171875,True,33948.34177557341,10008.719613725678,58.23750019073486,2.4480299949645996,0.0,0.0,130.08402981014578,0.4034077892931069,416.293165929973,847.5848040166836,992.4716620639604,576.1784961339874,0.4952483322400294,0.1271363198757171,0.2999775409698486,0.6333751678466797,7.344089984893799,10004.263935414714,1000426.3935414716,317900.0,75000.0,27000.0,5400.0,0.0066830028959679,78.74955595578211,83.18037822996546,114.54461089773264,46.56736978870606,1.6534650304859737,2.1132578166832903,4040.6510034868697,1893.5586843181363,2390.9283430718538,1203.7399754818762,0.4038928830319159,0.1892751627248668,0.2389909301181127,0.1203226927291154,0.3797431264594966,250.0,612.698974609375,907.8546142578124,657.8546142578125,1.000000050992925,1.000000009941336,0.916673433642798,0.7953260332564197,0.5395295510721063,4.636276193093997,2.364965678835581,3.0,,1.2291404158937536,1.113724708557129,2.3649656772613525,False,0,,skipped,0
3,KONG-REY_20241024193000,KONG-REY,2024-10-24 19:30:00,12.999999999997844,146.15000000000384,15.749999999991916,999.5000000000052,1,29.31015422068927,300.3996214158721,149.90553326370588,0,0.0071428571428571,0.5025157043212479,38.31113052368164,0.1300565302371978,0.3015086948871612,0.644883930683136,2.340719699859619,7.359057426452637,10151.068485141368,1015106.8485141366,314200.0,71000.0,28000.0,7900.0,0.0069305215217445,76.49469179223308,78.91518762011947,109.90470740376588,45.89230481042182,1.6667342989971743,2.055042589207945,4091.615910853412,1948.5924946501384,2374.8191549307385,1253.5430751588428,0.4030724368417489,0.1919593486638763,0.2339477029838663,0.1234887812050246,0.394725900817553,246.98178100585935,619.1122436523438,916.624267578125,669.6424865722656,4019848.3882621676,55050.0,12550.0,39.73927307128906,2.3443329334259033,7.66222620010376,1.0041484832763672,38.31113052368164,2.340719699859619,38.64734767649457,2.340719861385401,7.978435818123232,0.9526846426394566,5.0,True,33844.63660646503,10014.294006220742,54.84999656677246,2.453019142150879,0.0,0.0,124.1894769871302,0.4145486676643576,421.90046219457975,854.4003745317531,994.6356116689168,572.7351494743369,0.5025157043212479,0.1300565302371978,0.3015086948871612,0.644883930683136,7.359057426452637,10151.068485141368,1015106.8485141366,314200.0,71000.0,28000.0,7900.0,0.0069305215217445,76.49469179223308,78.91518762011947,109.90470740376588,45.89230481042182,1.6667342989971743,2.055042589207945,4091.615910853412,1948.5924946501384,2374.8191549307385,1253.5430751588428,0.4030724368417489,0.1919593486638763,0.2339477029838663,0.1234887812050246,0.394725900817553,246.98178100585935,619.1122436523438,916.624267578125,669.6424865722656,0.991300382224744,0.999999930993117,0.92236844341548,0.8273098135333922,0.788872385321684,4.999999937767805,2.3310493804882775,3.0,,1.2958741372450358,1.1132047176361084,2.33104944229126,False,0,,skipped,0
4,KONG-REY_20241024200000,KONG-REY,2024-10-24 20:00:00,13.066666666666666,146.0333333333333,16.0,999.3333333333334,1,29.3042962523176,300.4064038903787,135.08099343889072,0,0.0095238095238095,0.498053597464389,38.70656204223633,0.1260419487953186,0.3002551794052124,0.6347200870513916,2.3692562580108643,7.149054050445557,10060.931695579393,1006093.1695579392,323600.0,66900.0,27400.0,7900.0,0.0067820103462785,68.219315818923,82.61883242229503,107.14357900324792,50.45312252227893,1.507675648407845,2.173005955393861,3984.315533413522,1769.937723419504,2533.200853510405,1279.7862102551153,0.3960185451973763,0.17592185067683,0.2517859111023934,0.1272035482377275,0.3985858109427262,247.38633728027344,640.7027587890625,934.0770874023438,686.6907501220703,5025941.557820107,68750.0,16500.0,39.73927307128906,2.3692562580108643,7.741312503814697,0.9860471487045288,38.70656204223633,2.3692562580108643,38.733337176044294,2.369256241339768,7.720510334314412,0.9533268488019184,5.0,True,31284.001549471475,8117.99025069367,54.84999656677246,2.3830180168151855,0.0,0.0,121.69375938847207,0.4045536583851337,431.0452412450461,868.1589716175258,999.2497185388644,568.2044772938184,0.498053597464389,0.1260419487953186,0.3002551794052124,0.6347200870513916,7.149054050445557,10060.931695579393,1006093.1695579392,323600.0,66900.0,27400.0,7900.0,0.0067820103462785,68.219315818923,82.61883242229503,107.14357900324792,50.45312252227893,1.507675648407845,2.173005955393861,3984.315533413522,1769.937723419504,2533.200853510405,1279.7862102551153,0.3960185451973763,0.17592185067683,0.2517859111023934,0.1272035482377275,0.3985858109427262,247.38633728027344,640.7027587890625,934.0770874023438,686.6907501220703,0.9993087315537448,1.000000007036426,0.9259820582936114,0.8758470349987215,0.9731472637978296,4.999999938403577,2.4027819167913007,3.0,,1.2895761786766695,1.117469072341919,2.4027819633483887,False,0,,skipped,0
5,KONG-REY_20241024203000,KONG-REY,2024-10-24 20:30:00,13.13333333333549,145.91666666666288,16.250000000008086,999.1666666666612,1,29.298409170198912,300.4132228982305,120.25645361407553,0,0.0119047619047619,0.4930406020252042,40.443267822265625,0.1205367967486381,0.2866744995117187,0.6476352214813232,2.3985397815704346,7.179994583129883,9959.666681210138,995966.6681210136,323500.0,68300.0,27200.0,5900.0,0.0067325066211232,69.69619336856262,87.53237964112344,111.89046811818169,51.47202973608182,1.4640225549707857,2.317406333321229,3965.128501773462,1662.7819585220996,2623.8682761116424,1222.648576001462,0.3981185945965497,0.1669515669293528,0.2634494065009043,0.1227599893787716,0.3830080067082332,252.3885955810547,648.9992065429688,939.2017822265624,686.8131866455078,6021908.225941121,82350.0,19450.0,40.443267822265625,2.3985397815704346,8.23144245147705,0.9861252307891846,40.443267822265625,2.3985397815704346,40.44326644361965,2.3985398105482014,7.964426419886212,0.9552851774012998,4.913266181945801,True,33352.6489137547,8381.214617999076,69.17500019073486,2.393331527709961,0.0,0.0,126.31637934280276,0.38224653625901,431.3930922024598,873.6131867136622,1000.4498987955368,569.0568065930771,0.4930406020252042,0.1205367967486381,0.2866744995117187,0.6476352214813232,7.179994583129883,9959.666681210138,995966.6681210136,323500.0,68300.0,27200.0,5900.0,0.0067325066211232,69.69619336856262,87.53237964112344,111.89046811818169,51.47202973608182,1.4640225549707857,2.317406333321229,3965.128501773462,1662.7819585220996,2623.8682761116424,1222.648576001462,0.3981185945965497,0.1669515669293528,0.2634494065009043,0.1227599893787716,0.3830080067082332,252.3885955810547,648.9992065429688,939.2017822265624,686.8131866455078,1.0000000340883934,0.99999998791858,0.9015080565252388,0.8155274284311091,0.7039552462156805,4.913266181555881,2.4322872051969617,3.0,,1.239192446509691,1.1170448064804075,2.432287216186523,False,0,,skipped,0
6,KONG-REY_20241024210000,KONG-REY,2024-10-24 21:00:00,13.200000000004312,145.79999999999245,16.50000000001617,998.9999999999892,1,29.292492988712677,300.4200784724038,105.43191378926036,0,0.0142857142857142,0.5034448232405075,41.46989440917969,0.1170750632882118,0.2817563414573669,0.6783891916275024,2.448559522628784,7.376666069030762,10169.837151869871,1016983.7151869874,333900.0,73400.0,28300.0,6200.0,0.0070047771094774,75.67405460467018,91.25470675314418,118.54950039925492,50.33237475676566,1.4872287761205203,2.4856510274496864,4141.462812045182,1640.2313855609657,2731.7761557399126,1163.019191774074,0.4072300028210101,0.1612839380873847,0.2686155259858448,0.1143596671614585,0.3705873553909646,254.9509735107422,642.0280151367188,933.4880981445312,678.5371246337891,7038891.941128108,96500.0,22550.0,41.46989440917969,2.448559522628784,8.609823226928711,1.0012363195419312,41.46989440917969,2.448559522628784,41.469892897425936,2.448559736852152,8.202384483198918,0.9576369784866158,4.8165788650512695,True,35389.782677331525,9421.490385267569,69.17500019073486,2.4588887691497803,0.0,0.0,133.60287535201562,0.3649914808455091,425.4409477236529,877.0974860299167,1002.4470060806208,577.0060583569677,0.5034448232405075,0.1170750632882118,0.2817563414573669,0.6783891916275024,7.376666069030762,10169.837151869871,1016983.7151869874,333900.0,73400.0,28300.0,6200.0,0.0070047771094774,75.67405460467018,91.25470675314418,118.54950039925492,50.33237475676566,1.4872287761205203,2.4856510274496864,4141.462812045182,1640.2313855609657,2731.7761557399126,1163.019191774074,0.4072300028210101,0.1612839380873847,0.2686155259858448,0.1143596671614585,0.3705873553909646,254.9509735107422,642.0280151367188,933.4880981445312,678.5371246337891,1.0000000364542478,0.9999999125104588,0.8993319057574674,0.7996658317466077,0.6580699811247456,4.816579076731265,2.4455360586090285,2.999999903038079,,1.2495095357831527,1.1182172298431396,2.4455361366271973,False,0,,skipped,0
7,KONG-REY_20241024213000,KONG-REY,2024-10-24 21:30:00,13.266666666664513,145.68333333333717,16.749999999991914,998.8333333333388,2,29.28654771845633,300.4269706461429,90.60737396636274,0,0.0166666666666666,0.5272826543690744,33.59699630737305,0.1395981758832931,0.3239839375019073,0.6766603589057922,2.5473287105560303,7.253627300262451,10651.373259582488,1065137.3259582487,337400.0,78700.0,28700.0,5900.0,0.0071037845597881,50.07739887694807,89.56007351228753,102.60971029004664,60.78831850955817,1.2878734639458769,2.338287155384392,4052.6207330719335,1650.0863554455873,3042.4583492533,1409.4384890809888,0.3804787077033472,0.1549177101610903,0.2856400085797536,0.1323245796323014,0.3507266883119591,254.55844116210935,635.05908203125,917.6055908203124,663.0471496582031,8104029.267086357,110850.0,25500.0,41.46989440917969,2.5473287105560303,6.719399452209473,1.0327558517456057,33.59699630737305,2.5473287105560303,41.36905088857779,2.547328814921832,8.39220784702289,0.950563367280886,5.0,True,36892.771094831856,9939.730207998202,69.17500019073486,2.4178757667541504,0.0,0.0,115.0535471730187,0.3625969473595981,436.5775990588615,866.083136886985,998.0981915623332,561.5205925034718,0.5272826543690744,0.1395981758832931,0.3239839375019073,0.6766603589057922,7.253627300262451,10651.373259582488,1065137.3259582487,337400.0,78700.0,28700.0,5900.0,0.0071037845597881,50.07739887694807,89.56007351228753,102.60971029004664,60.78831850955817,1.2878734639458769,2.338287155384392,4052.6207330719335,1650.0863554455873,3042.4583492533,1409.4384890809888,0.3804787077033472,0.1549177101610903,0.2856400085797536,0.1323245796323014,0.3507266883119591,254.55844116210935,635.05908203125,917.6055908203124,663.0471496582031,0.8121287674175129,0.9999999590293168,0.8643288431941843,0.7779301784142871,0.5935774791203535,4.9999998580714955,2.4665352476584204,3.0,,1.2549175495473863,1.122822642326355,2.4665353298187256,False,0,,skipped,0
8,KONG-REY_20241024220000,KONG-REY,2024-10-24 22:00:00,13.333333333333334,145.56666666666672,17.0,998.6666666666666,2,29.280573385296652,300.43389945284537,75.78283414154758,0,0.019047619047619,0.5400335628463139,30.825204849243164,0.1525382101535797,0.3359474837779999,0.6723641753196716,2.559869289398194,7.554136276245117,10908.947986276964,1090894.7986276965,327500.0,78000.0,29000.0,8300.0,0.0071780401475211,43.88367194267006,78.6760861324538,90.08719771584182,60.84824882190827,1.3083495457131864,2.2119743730301673,4144.12678800826,1733.1388848051097,3004.4275279003796,1523.5935000180034,0.379883265849412,0.158873145878533,0.2754094649346421,0.139664567283172,0.3633690188158576,248.3948516845703,646.37451171875,916.787841796875,668.3929901123047,9194924.065714054,125350.0,29650.0,41.46989440917969,2.559869289398194,6.165040969848633,1.0627045631408691,30.825204849243164,2.559869289398194,39.638016283603335,2.5598691719019206,8.149823745021799,0.9469561038079864,5.0,True,35092.68204645655,9063.91990699072,65.46249866485596,2.518045425415039,0.0,0.0,99.52670903439189,0.3729040628580123,444.0720662234904,868.3317338436964,996.4436762808022,552.3716100573117,0.5400335628463139,0.1525382101535797,0.3359474837779999,0.6723641753196716,7.554136276245117,10908.947986276964,1090894.7986276965,327500.0,78000.0,29000.0,8300.0,0.0071780401475211,43.88367194267006,78.6760861324538,90.08719771584182,60.84824882190827,1.3083495457131864,2.2119743730301673,4144.12678800826,1733.1388848051097,3004.4275279003796,1523.5935000180034,0.379883265849412,0.158873145878533,0.2754094649346421,0.139664567283172,0.3633690188158576,248.3948516845703,646.37451171875,916.787841796875,668.3929901123047,0.7776676973109353,1.0000000458993272,0.926907932316874,0.8263831177568328,0.9157185947327788,5.0,2.408824971855197,3.0,,1.3296962274906747,1.1193617582321167,2.408824920654297,False,0,,skipped,0
9,KONG-REY_20241024223000,KONG-REY,2024-10-24 22:30:00,13.400000000002157,145.44999999999618,17.250000000008086,998.4999999999948,2,29.274569992453905,300.44086492607664,60.958294316732406,0,0.0214285714285714,0.5466221670907839,33.667659759521484,0.1580112874507904,0.3467823266983032,0.6901974081993103,2.5790934562683105,7.932581424713135,11042.04108631738,1104204.108631738,335200.0,82800.0,30700.0,8000.0,0.0075988218113413,39.57798988852964,67.28263127415401,78.06003942344843,59.534473116332094,1.319694739089382,2.028923235018401,4178.8277437570505,1802.4163112999415,2877.5650228179893,1697.5490973579,0.3784470381055906,0.1632321685103477,0.2606008255469807,0.153735082498597,0.384607849005189,250.0,657.3431396484375,914.439697265625,664.439697265625,10299128.174345791,140700.0,33650.0,41.46989440917969,2.5790934562683105,6.733531951904297,1.1171469688415527,33.667659759521484,2.5790934562683105,39.31303649385999,2.5790932358111145,7.932581763197186,0.9491786125582472,5.0,True,33879.14204392275,9026.40945515472,57.56249904632568,2.6896255016326904,0.0,0.0,82.48256756219271,0.3870447558037489,440.1136216933077,860.3487664894975,986.154146165801,546.0405244724932,0.5466221670907839,0.1580112874507904,0.3467823266983032,0.6901974081993103,7.932581424713135,11042.04108631738,1104204.108631738,335200.0,82800.0,30700.0,8000.0,0.0075988218113413,39.57798988852964,67.28263127415401,78.06003942344843,59.534473116332094,1.319694739089382,2.028923235018401,4178.8277437570505,1802.4163112999415,2877.5650228179893,1697.5490973579,0.3784470381055906,0.1632321685103477,0.2606008255469807,0.153735082498597,0.384607849005189,250.0,657.3431396484375,914.439697265625,664.439697265625,0.8563993718668815,1.0000000854785678,0.9999999573299008,0.9061622623205412,0.8862881791199305,5.0,2.3086429343694603,2.949325629124872,,1.3008337169499906,1.112476110458374,2.308642864227295,False,0,,skipped,0
