field_index,typhoon_name,time,rainband_width_km,rainband_length_km,rainband_aspect_ratio,rainband_width10_km,rainband_length10_km,rainband_aspect_ratio10,rainband_valid_grid_count,rainband_weight_sum,rainband10_valid_grid_count,rainband10_weight_sum
0,KONG-REY,2024-10-24 18:00:00,607.9103561913624,873.6802944394618,1.4371860678820825,146.52618247028366,499.5705525483435,3.4094285685062182,3216,13986.505756258965,280,4645.8363428115845
1,KONG-REY,2024-10-24 18:30:00,604.4732595615361,814.8296915026766,1.3479995659257522,146.37429211468907,201.14708062540797,1.3741967781323325,3177,13815.585455417633,271,4541.844420433044
2,KONG-REY,2024-10-24 19:00:00,612.1551336018372,830.7271576470056,1.3570533220216894,146.3197000714982,202.72653018154423,1.38550400310062,3179,13752.289204120636,270,4443.786840438843
3,KONG-REY,2024-10-24 19:30:00,607.7051776829727,860.5671401147661,1.4160931512808417,171.0322142623956,302.6877583133697,1.7697704471567444,3142,13914.182175040245,280,4812.5872802734375
4,KONG-REY,2024-10-24 20:00:00,602.2364227272969,958.0402428558973,1.5908042202384576,144.39437609385465,202.79248392199557,1.4044347806882829,3236,13816.474696993828,274,4713.889653205872
5,KONG-REY,2024-10-24 20:30:00,591.6237969361397,981.8674698773813,1.6596145641236995,147.08994649695427,198.81053480344053,1.351625583789004,3235,13649.358708500862,272,4481.935242652893
6,KONG-REY,2024-10-24 21:00:00,564.2547863382287,970.0199190730481,1.7191168645073605,147.75081475780348,207.8126120860335,1.4065073849283558,3339,14159.726870775223,283,4610.357641220093
7,KONG-REY,2024-10-24 21:30:00,566.3492920896724,871.9474148029193,1.5395930161502853,144.30335839219723,220.09959579004632,1.5252562257895865,3374,14571.54321050644,287,4636.926628112793
8,KONG-REY,2024-10-24 22:00:00,531.6697489556531,863.6718546779078,1.6244517510623793,146.95213434166547,215.9670201506599,1.4696419423792275,3275,14756.432323217392,290,4984.988988876343
9,KONG-REY,2024-10-24 22:30:00,531.037357989319,923.5294405964862,1.7391044654433891,159.3376298052367,216.21546358091666,1.3569642264994286,3352,14904.282611846924,307,5090.013038635254
10,KONG-REY,2024-10-24 23:00:00,492.867684099362,957.5158993092131,1.9427443311868182,158.28433513091977,213.94948899366136,1.3516782239802734,3429,15355.57664680481,315,5480.801124572754
11,KONG-REY,2024-10-24 23:30:00,485.5934509155722,901.5236402821847,1.8565399483505933,161.9799233644227,216.9765140063829,1.3395272049748255,3444,15392.22856104374,321,5399.315916061401
12,KONG-REY,2024-10-25 00:00:00,486.8872957313384,884.7030224612623,1.8170591638304616,160.52046830004872,211.436783788194,1.3171951591430069,3447,15310.535373568535,309,5273.916286468506
13,KONG-REY,2024-10-25 00:30:00,493.66255133166146,807.7426204137611,1.6362242147695074,155.65797387469925,426.2126981102734,2.7381359753105943,3354,15232.721774697304,301,5188.747970581055
14,KONG-REY,2024-10-25 01:00:00,459.3279274207733,669.5630246032641,1.4577015344200936,154.50933693282406,218.12443176823305,1.4117233048709896,3362,15026.608186483383,299,5132.292774200439
15,KONG-REY,2024-10-25 01:30:00,455.2165288970347,666.1732437572251,1.4634205954061592,154.89139625350734,222.46644687309896,1.4362737521520665,3362,14800.900745034218,301,5097.163400650024
16,KONG-REY,2024-10-25 02:00:00,480.25766614380836,673.1418940404235,1.4016265465273312,153.09480351162938,222.972217692771,1.4564323058544058,3448,14839.14521408081,289,4705.5912437438965
17,KONG-REY,2024-10-25 02:30:00,489.6181452473207,682.444164803139,1.3938293983332963,179.98007620493735,228.8868380304,1.2717343100231433,3507,15545.038244962692,319,5133.081254959106
18,KONG-REY,2024-10-25 03:00:00,515.4079627306867,681.6595811792142,1.3225631547632817,185.65079670987907,189.12412774807407,1.018708947657369,3417,14566.062987208366,296,4383.593941688538
19,KONG-REY,2024-10-25 03:30:00,562.7709816038023,691.2091879474299,1.2282246429579562,206.11265810642888,489.11020406437785,2.3730236102812143,3312,12996.01619374752,234,3049.6180057525635
20,KONG-REY,2024-10-25 04:00:00,581.738614375594,673.0690491210921,1.156995654901688,214.275344620404,386.31001227373156,1.802867301219797,3299,13351.706950187683,237,3621.4310159683228
21,KONG-REY,2024-10-25 04:30:00,636.2814674807336,726.651691589681,1.1420286912751905,142.02018770158028,414.13641241944947,2.916039044319883,3354,13236.446081161499,238,3536.553059577942
22,KONG-REY,2024-10-25 05:00:00,628.2103048535565,707.4854949759344,1.1261921199157292,139.1446342057574,443.18876475744895,3.1850941812250486,3324,13193.058331608772,244,3652.7266387939453
23,KONG-REY,2024-10-25 05:30:00,622.2736733860104,691.6598971069975,1.1115043536125047,144.92941258464182,409.0563595618113,2.82245233915449,3224,13280.240182042122,254,3869.4226303100586
24,KONG-REY,2024-10-25 06:00:00,664.4773982238165,689.684607858184,1.0379353905817514,151.39105231862794,342.32209459733133,2.2611778526834905,3227,13040.876950860023,247,3599.03156375885
25,KONG-REY,2024-10-25 06:30:00,603.7360147911842,698.172690585413,1.1564204776269487,157.74980348312621,378.60314702004547,2.4000229392396077,3006,12829.293113827705,257,3309.196484565735
26,KONG-REY,2024-10-25 07:00:00,621.1199890164357,695.0797866330455,1.1190748952287406,159.02005838004897,310.7063545318646,1.953881527255461,3029,13071.671566724777,258,3398.885396003723
27,KONG-REY,2024-10-25 07:30:00,642.7187652230434,688.7919386630625,1.0716848113560666,148.69761531038486,249.30397004425794,1.6765835116042052,3003,13238.366650223732,254,3554.0955533981323
28,KONG-REY,2024-10-25 08:00:00,689.9895096747312,827.9879532786741,1.200000785039465,211.7767377036434,409.3680840565672,1.933017235488006,2925,13032.703871130943,254,3607.9515466690063
29,KONG-REY,2024-10-25 08:30:00,621.8652376887761,1207.7972039369859,1.9422169478806728,173.0659728778261,1223.6617218209947,7.070492838501634,3001,12251.32198035717,242,2999.0416107177734
30,KONG-REY,2024-10-25 09:00:00,595.0790205349756,1249.6278590861668,2.099936001714109,164.37124641065796,1243.7511032677298,7.566719425856204,2985,12355.26090168953,246,3168.6693439483643
31,KONG-REY,2024-10-25 09:30:00,608.9539032318407,1212.7978978685758,1.9916087103342495,174.99292041388193,1375.505150388596,7.860347419400353,2947,12185.559311270714,242,3038.1140184402466
32,KONG-REY,2024-10-25 10:00:00,612.6395772603905,1009.3670885913457,1.6475708166048375,211.01883146957238,1173.2230748226114,5.559802727804307,2867,12519.870681166649,278,3696.061369895935
33,KONG-REY,2024-10-25 10:30:00,628.9647383024584,662.9123675475067,1.0539738194809936,164.94800100412883,366.23775494011505,2.2203224816949767,2855,14368.634813308716,333,5932.91775894165
34,KONG-REY,2024-10-25 11:00:00,578.6155098675247,624.303316308409,1.0789605630366588,177.68260421608764,218.85427732263804,1.2317147099919725,2937,15452.207112789154,354,6863.215169906616
35,KONG-REY,2024-10-25 11:30:00,575.2319553844353,623.6686097172569,1.08420369188365,176.63956201363334,218.3368841785225,1.236058795037488,2919,15485.134946584702,352,6921.625359535217
36,KONG-REY,2024-10-25 12:00:00,585.1352313083854,654.273970299165,1.1181585645358962,176.16263868539207,220.1080529366455,1.2494593324622825,3068,16027.004335284233,356,7044.6597509384155
37,KONG-REY,2024-10-25 12:30:00,596.091919287574,848.9157408499764,1.4241356297273182,159.95336817437513,263.41792773139764,1.6468420186327537,3357,12761.802094459534,281,3509.967785835266
38,KONG-REY,2024-10-25 13:00:00,596.8970786493113,746.3732781704193,1.2504220658264051,151.8288267211234,241.16676518374956,1.5884122296928436,3176,12969.147998929024,268,3841.711477279663
39,KONG-REY,2024-10-25 13:30:00,578.7191906293757,812.04409735711,1.403174649304414,162.75120019784976,303.9363618358498,1.8674907556218656,3344,13047.569776058197,270,3275.0968837738037
40,KONG-REY,2024-10-25 14:00:00,593.7890501228514,859.1596862412573,1.446910626027039,180.36606303503945,420.25005685826835,2.32998408784154,3355,12715.187485098839,257,2932.3637981414795
41,KONG-REY,2024-10-25 14:30:00,568.3759730081626,800.1515153013287,1.4077856089983523,158.8501953839128,390.00151996509095,2.4551529132370526,3350,13370.882353305817,285,3399.4692544937134
42,KONG-REY,2024-10-25 15:00:00,590.7182737571479,772.0819232976609,1.3070222432547813,148.44981072363237,310.44880041662606,2.0912711097664087,3236,13798.137845396996,294,3900.321434020996
43,KONG-REY,2024-10-25 15:30:00,593.4677102889183,745.7816043311719,1.2566506844460017,165.26984230470535,279.18082254155917,1.6892423847469782,3211,14334.813979744911,339,4836.66602230072
44,KONG-REY,2024-10-25 16:00:00,590.5372844920147,736.8341118422461,1.2477351239152934,164.46443632831387,254.05474378819045,1.544739698502535,3181,14274.846458673477,327,4738.8985986709595
45,KONG-REY,2024-10-25 16:30:00,595.9208873790051,709.0794888507781,1.189888630971586,164.40922330699198,245.56552022948566,1.4936237474399698,3149,14098.41166973114,314,4489.0948848724365
46,KONG-REY,2024-10-25 17:00:00,581.2142319286595,630.9666743046173,1.0856008673615265,221.06444957694546,365.8031779505785,1.6547354341714382,3218,15507.567062616348,394,5893.02915096283
47,KONG-REY,2024-10-25 17:30:00,564.9988607722584,614.6418715278431,1.087863913013435,229.27918997744413,343.4482707286866,1.4979478545893008,3177,15243.450063347816,378,5459.615064620972
48,KONG-REY,2024-10-25 18:00:00,565.514880466877,589.7292589120036,1.0428182869832439,232.63697172484908,302.0747565964212,1.2984812962304988,3133,15636.1492831707,395,5925.617315292358
49,KONG-REY,2024-10-25 18:30:00,529.273044092755,647.2257251861658,1.2228579037037421,234.53940483322643,358.9825183505583,1.5305850997866133,3604,16953.65227985382,397,5749.486615180969
50,KONG-REY,2024-10-25 19:00:00,529.6977915644802,662.1467425394382,1.2500462586105263,224.49543852884435,353.88121290134,1.5763403266470821,3637,16913.871940493584,372,5316.5036153793335
51,KONG-REY,2024-10-25 19:30:00,534.9642414206181,644.8120553046194,1.205336740998417,204.37071589042083,381.31101066499616,1.8657810587180457,3676,17250.045715093613,378,5352.052995681763
52,KONG-REY,2024-10-25 20:00:00,518.7716499273898,635.8916799152499,1.2257641295630777,194.39300720003013,380.66240423760644,1.958210378657826,3666,17895.008220672607,436,6395.1485023498535
53,KONG-REY,2024-10-25 20:30:00,511.5868984336449,623.8718043939671,1.2194835448368793,199.44732912870862,406.9207540323666,2.04024168089896,3625,18705.42914402485,504,7546.161060333252
54,KONG-REY,2024-10-25 21:00:00,497.9425686932711,613.0021569360883,1.2310699977805912,198.59272447959046,402.79249799328284,2.0282339096197664,3563,18575.431297063828,496,7831.929279327393
55,KONG-REY,2024-10-25 21:30:00,499.3888573547279,601.798284952751,1.2050695086399936,199.15104295621705,443.7061280855584,2.2279879708342984,3557,17855.357112169266,499,7382.182825088501
56,KONG-REY,2024-10-25 22:00:00,474.28165832554123,634.5051436068009,1.337823490469629,203.92583521640046,396.5502662442754,1.9445808120558403,3491,17054.380042791367,455,6566.2611951828
57,KONG-REY,2024-10-25 22:30:00,518.4751149487045,567.8791859296854,1.095287255948374,178.58348139332043,286.8292785201934,1.606135552304896,3541,17261.949561595917,424,6771.165808677673
58,KONG-REY,2024-10-25 23:00:00,522.8239881813487,543.7070292840234,1.039942775340733,183.6693421094485,266.9036164190831,1.4531745655191266,3527,17123.06344473362,421,6593.2859354019165
59,KONG-REY,2024-10-25 23:30:00,512.2010994811875,536.6715285919565,1.0477750421378522,178.300111273808,267.97230348737713,1.5029284141940988,3480,17369.103073596954,416,6738.122386932373
60,KONG-REY,2024-10-26 00:00:00,501.88474081889296,519.2761152127905,1.034652128226732,177.85725251970268,267.79957574199454,1.505699497479456,3395,17648.340703606606,423,7389.938076972961
61,KONG-REY,2024-10-26 00:30:00,421.0529754526149,733.8961148761828,1.7430018493213886,186.71629919333057,540.0640790436559,2.892431359109456,2998,14966.182492733002,428,6143.689589500427
62,KONG-REY,2024-10-26 01:00:00,420.7529637518069,736.4823854088669,1.7503914383436172,186.32450578424076,525.195119393784,2.818711994878142,2997,14962.747244119644,430,6163.872081756592
63,KONG-REY,2024-10-26 01:30:00,423.3835221163849,740.3242187280084,1.7485900609152596,186.17889148581486,505.3257664749057,2.7141947319704838,3001,14996.110879898071,419,6009.270378112793
64,KONG-REY,2024-10-26 02:00:00,432.6732040293369,742.6903040054992,1.7165155990458338,197.98657700700915,486.88344091421914,2.4591739918660243,3048,15039.570737719536,427,6009.159273147583
65,KONG-REY,2024-10-26 02:30:00,436.8428334159687,756.9521446977393,1.7327791296897748,202.9415913269272,482.1229210700065,2.375673305396191,3076,14967.838945627213,419,5912.536533355713
66,KONG-REY,2024-10-26 03:00:00,446.11304697566425,764.9764184377445,1.71475912579502,201.3742905187385,474.4128662907988,2.3558760409221695,3134,15000.630525946617,418,5845.170787811279
67,KONG-REY,2024-10-26 03:30:00,449.64033266012285,773.33264427143,1.719891629152361,202.54729487944124,464.0887122238609,2.2912609743817622,3177,15022.567513108253,424,5853.379390716553
68,KONG-REY,2024-10-26 04:00:00,443.0571284717561,783.6597126457071,1.7687554545139474,200.00787514035414,438.1899113029606,2.190863289735275,3176,15182.409034967422,418,5944.022605895996
69,KONG-REY,2024-10-26 04:30:00,433.2595259485799,803.6109360876818,1.8548026943625795,191.25144170312868,413.3665270065671,2.161377312115722,3147,15415.382322788239,414,6136.816131591797
70,KONG-REY,2024-10-26 05:00:00,427.0563642115452,772.5648773150127,1.8090466319155842,167.40261537969653,345.9912621874406,2.0668211270336116,3122,15485.242088198662,414,6550.788805007935
71,KONG-REY,2024-10-26 05:30:00,431.9730231748916,775.8029331651857,1.7959522737397582,168.39165043822354,335.8953327825961,1.9947267688656645,3155,15499.725892782211,413,6515.083613395691
72,KONG-REY,2024-10-26 06:00:00,433.7059165918678,789.2046413399132,1.8196769081261581,169.66630984081243,327.3124701703158,1.9291541760848765,3143,15275.701924443245,408,6377.921538352966
73,KONG-REY,2024-10-26 06:30:00,452.7102798026732,724.7936416888748,1.6010099041815338,188.44009471352777,423.44135615349984,2.247087366397399,3317,16201.578621506691,417,6348.813129425049
74,KONG-REY,2024-10-26 07:00:00,448.61764804861315,669.8711302544899,1.4931894301712798,167.7207429013443,336.43845331241937,2.0059442111481416,3275,16294.52257514,403,6598.66764831543
75,KONG-REY,2024-10-26 07:30:00,458.092668902475,629.6378437039493,1.3744770140340181,167.15013670851948,308.09787406430416,1.8432403354929405,3236,15705.240349769592,388,6371.988039970398
76,KONG-REY,2024-10-26 08:00:00,451.69772923410386,644.3877053415808,1.4265905352993462,170.57116648506394,289.11893137694426,1.6950047146582612,3222,15329.366681456566,368,5961.734589576721
77,KONG-REY,2024-10-26 08:30:00,453.03392798026806,662.246374687594,1.4618030434056954,173.99239752415437,278.98414914079666,1.6034272365381097,3213,15062.68390905857,364,5813.323522567749
78,KONG-REY,2024-10-26 09:00:00,445.26587237086204,715.7714001568793,1.6075146211985263,174.3549176787686,254.6990044670661,1.4608076896134465,3275,15555.518490672112,358,6040.852731704712
79,KONG-REY,2024-10-26 09:30:00,462.2396480703498,698.7297409701803,1.5116179321420664,182.12032964716602,241.24628857064516,1.3246532610501338,3297,15880.950701355934,363,6395.952027320862
80,KONG-REY,2024-10-26 10:00:00,457.97796965703003,696.3464356240622,1.520480201581617,181.6744512920115,236.88990865523462,1.3039252738651301,3290,16241.931987643242,365,6782.612730979919
81,KONG-REY,2024-10-26 10:30:00,453.9076927391542,704.2932285696855,1.5516221466077202,181.73925953363462,238.5458198542693,1.312571760589352,3287,16434.424641251564,370,7064.802396774292
82,KONG-REY,2024-10-26 11:00:00,442.66112254300225,709.8887579753955,1.6036844480428294,186.82255231687347,234.4989124703924,1.25519595767353,3258,16149.679148316383,365,6836.036504745483
83,KONG-REY,2024-10-26 11:30:00,440.94717114716434,719.7123267214396,1.632196267069909,187.49081686188848,230.41693431011018,1.2289505063058164,3252,16152.097978830338,362,6859.190525054932
84,KONG-REY,2024-10-26 12:00:00,443.18619809569833,756.0335997800165,1.7059051094744664,191.21709163273079,219.38207369764083,1.1472932248075667,3250,16023.121884226799,357,6652.12721157074
85,KONG-REY,2024-10-26 12:30:00,438.5558990239656,789.0984952377727,1.7993110957895229,183.82873838416134,247.76426399513392,1.3477994037981165,3238,17038.9212321043,397,7727.979907035828
86,KONG-REY,2024-10-26 13:00:00,432.44526221423394,698.8093094628211,1.61594858476361,201.9009298249947,235.26633600319025,1.1652563274825685,3120,17302.337648630142,407,8260.437032699585
87,KONG-REY,2024-10-26 13:30:00,429.42683793902927,715.7903165176731,1.66685044640666,202.8457269117424,230.2462181371384,1.1350804458272703,3100,17053.404702067375,399,8200.042140960693
88,KONG-REY,2024-10-26 14:00:00,432.7171848339673,673.1698963607357,1.5556809850734912,199.94232692809373,232.20340390864865,1.1613519132052312,3017,16525.13810122013,395,7911.925523757935
89,KONG-REY,2024-10-26 14:30:00,432.2413255942239,680.2643544135813,1.5738068392197022,197.92988163712633,233.4793479980204,1.1796063639651304,3012,16551.209134459496,396,7947.333510398865
90,KONG-REY,2024-10-26 15:00:00,427.93802119082346,636.792166162647,1.488047648560517,193.0925940385717,235.33882161389388,1.2187874050046787,3011,16692.62374854088,394,7746.709418296814
91,KONG-REY,2024-10-26 15:30:00,424.50071369823746,567.9938761132361,1.3380280828385167,179.35575201118118,234.4082386213436,1.3069457544173386,2989,16185.42796587944,376,7074.451934814453
92,KONG-REY,2024-10-26 16:00:00,416.8926571329537,544.5656693908535,1.306249126899785,174.0671782089998,244.7044995108321,1.4058049428308521,3072,16987.93868970871,389,7647.518611907959
93,KONG-REY,2024-10-26 16:30:00,418.3025703165142,569.9205373202568,1.3624600415173578,173.75539077501222,243.65489771719908,1.4022868391616987,3171,16699.534935235977,385,7306.5343379974365
94,KONG-REY,2024-10-26 17:00:00,425.3425980425605,570.4886219227062,1.3412449741646164,181.78349756163917,240.3807174532418,1.3223462012646785,3230,16812.6561306715,391,7368.948846817017
95,KONG-REY,2024-10-26 17:30:00,421.76804620074773,575.5796844342384,1.3646830043646312,194.80644922193042,225.6526847524386,1.1583429894323771,3230,16461.913480997086,385,7359.097994804382
96,KONG-REY,2024-10-26 18:00:00,424.7664878196502,577.301959905693,1.3591042995623652,191.20586043553425,228.46372706678756,1.1948573466649248,3274,17372.011781454086,386,8295.01469707489
97,KONG-REY,2024-10-26 18:30:00,442.79198916723647,569.8451665086412,1.2869364858663177,181.3299655473932,302.16222011334463,1.6663667210280726,3055,15284.951650261879,369,6366.03874206543
98,KONG-REY,2024-10-26 19:00:00,443.2193278526691,568.4514835470236,1.282551206196454,177.23652705229392,298.3891710706198,1.683564759664795,3068,15305.110673546791,362,6297.347509384155
99,KONG-REY,2024-10-26 19:30:00,442.2971581100257,571.4776838384661,1.292067275042957,176.63143304002404,291.84527474325324,1.6522839096092288,3012,15100.755734324455,358,6238.84565448761
100,KONG-REY,2024-10-26 20:00:00,441.54260513792514,559.3213988630648,1.2667438936914088,177.71677201634282,291.3687336908419,1.6395117376093578,2959,14670.003183484077,354,6101.339128494263
101,KONG-REY,2024-10-26 20:30:00,440.42134178992285,552.7025354323254,1.2549404013576582,178.5399331571409,289.45035171824964,1.6212079090647467,2969,14725.1196693182,353,6096.9374322891235
102,KONG-REY,2024-10-26 21:00:00,440.2324740696222,548.898136244124,1.2468369976661813,175.45935506304662,290.00017129576827,1.6528054100709697,2977,14677.880776286125,345,5939.078689575195
103,KONG-REY,2024-10-26 21:30:00,441.8919238446582,548.8199173876666,1.241977704893734,175.67683731334648,291.87968594837184,1.6614579953289925,3000,14669.482565760612,345,5858.271891593933
104,KONG-REY,2024-10-26 22:00:00,442.001357171081,519.0751307092625,1.1743745178328675,174.72546962396723,269.5439841443882,1.5426713960161715,3037,14742.530248641968,363,6176.498224258423
105,KONG-REY,2024-10-26 22:30:00,389.23576940421543,625.2020333548037,1.6062296492220356,175.5594996549682,245.94461840962916,1.400918884440827,2897,14657.582230329514,361,6648.280871391296
106,KONG-REY,2024-10-26 23:00:00,391.92064914553606,680.1459960090771,1.7354176093857954,172.43682652298014,243.9059477397932,1.4144655330181872,2917,14338.34776365757,360,6429.138788223267
107,KONG-REY,2024-10-26 23:30:00,391.75369414119956,679.2633755950458,1.733904199893052,171.50902663049806,244.03668411176824,1.4228795353000492,2918,14318.608978748322,357,6379.1077699661255
108,KONG-REY,2024-10-27 00:00:00,391.94774794364145,677.7915950337871,1.7292906990531953,170.92328327020817,244.01732783880908,1.4276424087468937,2919,14288.206595301628,356,6349.179203987122
109,KONG-REY,2024-10-27 00:30:00,409.670879265013,622.2305330632531,1.518854682030585,196.0651426220413,258.39272567922893,1.3178922179825532,2842,17288.430884242058,473,8217.745272636414
110,KONG-REY,2024-10-27 01:00:00,399.6228557324389,631.6879970713103,1.5807103823266937,199.6100480281253,259.40593031216076,1.2995634882849627,2856,17564.82583141327,494,8594.993221282959
111,KONG-REY,2024-10-27 01:30:00,410.95040742422447,595.6072382750124,1.4493409119805667,160.098065253564,225.60979165288708,1.4091974896483848,2864,15342.215218663216,321,5969.474809646606
112,KONG-REY,2024-10-27 02:00:00,432.7524764060212,686.2389891435662,1.5857540431489405,152.32088151964078,221.6409282619547,1.4550922109348094,2897,14615.6429104805,289,5308.261255264282
113,KONG-REY,2024-10-27 02:30:00,433.03367343764114,679.8344324419078,1.5699343356950404,152.38918155630307,223.7261755169079,1.4681237423290876,2902,14624.111153960228,290,5314.385327339172
114,KONG-REY,2024-10-27 03:00:00,434.79180041781626,679.7199897797873,1.563322926344526,149.56841275971047,225.9744039113872,1.5108430967601796,2917,14688.42137491703,291,5385.129977226257
115,KONG-REY,2024-10-27 03:30:00,433.46122916473695,678.2232763708189,1.5646688348061195,148.50929761617803,233.92612831876005,1.5751615021662824,2911,14634.150551319122,295,5432.041013717651
116,KONG-REY,2024-10-27 04:00:00,433.9797134726069,675.627240141009,1.5568175635095751,146.90839601827238,236.74610422624085,1.6115219459396513,2920,14646.086879849434,297,5445.875380516052
117,KONG-REY,2024-10-27 04:30:00,430.80199339044844,672.6698397416947,1.5614362283881837,147.0477535967609,241.1248010211438,1.6397720816760137,2911,14826.41053557396,304,5672.231928825378
118,KONG-REY,2024-10-27 05:00:00,432.08280129866546,672.4239942730018,1.5562387400099396,145.89246855888535,244.75090097033015,1.6776116230533293,2918,14875.733012676239,306,5709.66978931427
119,KONG-REY,2024-10-27 05:30:00,433.505435138739,671.8075927157673,1.5497097343214636,145.17946326544606,246.5185954051555,1.698026634486307,2928,14924.44616651535,307,5736.855500221252
120,KONG-REY,2024-10-27 06:00:00,448.29901295297367,646.9420087340874,1.4431037991197848,156.70589969798297,260.24140435107324,1.6606994685754086,3032,14842.780318260193,327,5712.0681076049805
121,KONG-REY,2024-10-27 06:30:00,484.2544173362522,927.7164270000009,1.9157624459124336,171.67592203940967,208.98320078584837,1.2173122375185106,3283,15215.446431398392,325,5722.314759254456
122,KONG-REY,2024-10-27 07:00:00,537.9702826599968,705.1721045587828,1.3108012232052195,154.8791250340159,222.76857336400235,1.438338273896334,3538,15601.854378700256,318,5684.835651397705
123,KONG-REY,2024-10-27 07:30:00,535.5963331710154,641.733046538227,1.1981654966508535,162.32270523292144,228.99200603446843,1.410720735006726,3463,14860.857141971588,318,5421.869420051575
124,KONG-REY,2024-10-27 08:00:00,524.8465468160921,630.0934554942129,1.2005289151973757,164.63863095849712,234.68715123136718,1.425468311204111,3377,14349.829273104668,320,5268.8616189956665
125,KONG-REY,2024-10-27 08:30:00,507.75227568393825,615.6370508142653,1.212475217339018,164.34566211871373,244.93709151767737,1.4903775880664718,3265,14179.480616807938,323,5333.3801527023315
126,KONG-REY,2024-10-27 09:00:00,517.3147848512798,606.3430083161439,1.1720968085040468,164.12427594318322,245.17510696273968,1.4938381635122233,3288,14078.446754932404,326,5228.051312446594
127,KONG-REY,2024-10-27 09:30:00,508.90730018735326,618.0414751569989,1.214448043738942,164.33740317560424,242.33550180691012,1.4746217058569364,3248,14057.323379158974,322,5211.520039558411
