field_index,scenario_id,scenario_name,time,rainband_width_km,rainband_length_km,rainband_aspect_ratio,rainband_width10_km,rainband_length10_km,rainband_aspect_ratio10,rainband_valid_grid_count,rainband_weight_sum,rainband10_valid_grid_count,rainband10_weight_sum
0,S0,baseline_kong_rey,2024-10-24 18:00:00,454.36805890493275,725.271883303119,1.5962211011290866,158.71301588968782,567.7484399361736,3.577201508985116,3529,15325.965281486511,278,4132.965407371521
1,S0,baseline_kong_rey,2024-10-24 18:30:00,451.5699579979575,729.1328507927833,1.614661998387589,159.3845421329302,552.0134323650637,3.4634063314914756,3486,15445.801054000854,290,4439.586232185364
2,S0,baseline_kong_rey,2024-10-24 19:00:00,440.97225804005495,735.1232900984292,1.6670511051324544,156.72328283963125,538.920091778643,3.4386728124505614,3466,15617.16158235073,304,4550.300349235535
3,S0,baseline_kong_rey,2024-10-24 19:30:00,445.9391431657131,740.7595153041602,1.6611224348809603,159.31071269558763,499.80985789268925,3.1373273613289734,3496,15567.084204912186,300,4533.491924285889
4,S0,baseline_kong_rey,2024-10-24 20:00:00,483.07068990702777,732.2225091506338,1.5157667903460597,155.3231436047421,283.61771743870725,1.825984916712994,3453,14516.360533595085,263,4088.146752357483
5,S0,baseline_kong_rey,2024-10-24 20:30:00,476.42271831363206,735.3002395914419,1.5433777847415489,154.3278948667893,285.57754143457305,1.8504596442598549,3440,14218.822962403297,258,4125.705567359924
6,S0,baseline_kong_rey,2024-10-24 21:00:00,458.999557546794,746.9803954578592,1.6274098377136335,158.612655349709,326.5815154636544,2.058987756958017,3449,14589.14837539196,277,4416.251634597778
7,S0,baseline_kong_rey,2024-10-24 21:30:00,469.36115621229146,730.9278000770748,1.5572822556847365,166.7680755563327,283.51122223060815,1.700032942664971,3557,15180.379796624184,282,4579.236215591431
8,S0,baseline_kong_rey,2024-10-24 22:00:00,491.13498202964706,722.5402102223187,1.47116421484858,160.46320006004854,219.70389689461118,1.3691855628729344,3496,15051.466199159622,273,4422.808572769165
9,S0,baseline_kong_rey,2024-10-24 22:30:00,529.6567971884648,703.5674232857265,1.3283458779730881,156.20276711126039,191.90220836899772,1.228545511183602,3506,15181.554286956787,262,4407.419283866882
10,S0,baseline_kong_rey,2024-10-24 23:00:00,525.7271444465101,704.9297495900471,1.3408661832217197,162.49200778943478,189.38863518719967,1.1655258480935118,3523,15583.136844873428,278,4598.298517227173
11,S0,baseline_kong_rey,2024-10-24 23:30:00,515.2001906470487,682.2003157215075,1.3241460855531113,166.0137552814865,194.36664862356025,1.1707864104031531,3496,15680.52818262577,296,4873.973786354065
12,S0,baseline_kong_rey,2024-10-25 00:00:00,512.4094972884463,676.683144196794,1.3205905584842685,170.11980977284492,201.1801107673569,1.1825789779331668,3476,15403.182393431664,295,4726.6281995773315
13,S0,baseline_kong_rey,2024-10-25 00:30:00,511.1420895787391,866.7992041412539,1.6958087033208908,219.2691820509237,574.144753186887,2.6184470969273894,3595,14507.039384245872,237,3874.919638633728
14,S0,baseline_kong_rey,2024-10-25 01:00:00,462.9411510428752,700.7944773870756,1.5137873913528377,144.01293549008318,336.25536718522267,2.334896973254011,3557,14287.50295305252,232,3836.2316789627075
15,S0,baseline_kong_rey,2024-10-25 01:30:00,465.4769801716283,683.2618764578053,1.4678746867479353,134.38851296798944,251.64017283572926,1.8724827537578796,3579,14174.054256439209,221,3865.722770690918
16,S0,baseline_kong_rey,2024-10-25 02:00:00,482.462913604269,693.8765436380062,1.4381966449075996,132.4348203546266,270.0640327578946,2.0392222531410558,3614,13911.186062216759,219,3732.7359046936035
17,S0,baseline_kong_rey,2024-10-25 02:30:00,479.07770539074215,708.3085036376706,1.4784835438333814,144.3990076846618,277.2882149271914,1.9202916929507634,3720,14566.526307821274,253,4272.763653755188
18,S0,baseline_kong_rey,2024-10-25 03:00:00,483.82079825809507,698.2300215529228,1.4431583430616584,144.47698740263235,304.790816220946,2.1096149753700546,3722,14898.643444538116,269,4446.824734687805
19,S0,baseline_kong_rey,2024-10-25 03:30:00,559.6099615497976,705.9432624681303,1.2614915940972036,128.03051009615632,391.4511528468714,3.057483349499053,3775,14314.076415419579,229,3409.4887104034424
20,S0,baseline_kong_rey,2024-10-25 04:00:00,590.1021052252919,714.4019719613084,1.2106412867118301,128.6630554651215,352.67909739849927,2.741106187192191,3791,14420.99940264225,222,3646.0206537246704
21,S0,baseline_kong_rey,2024-10-25 04:30:00,591.6953453757072,783.6514880006481,1.3244171922681827,140.66443263700583,456.8472739705262,3.2477810161823104,3750,14238.02687060833,230,3412.151168823242
22,S0,baseline_kong_rey,2024-10-25 05:00:00,556.5143359997433,792.7660931349279,1.4245205232867393,162.11203848293482,532.483201861225,3.284661687338384,3674,14188.517167925835,259,3660.8219137191772
23,S0,baseline_kong_rey,2024-10-25 05:30:00,542.7032522829285,791.5522167891444,1.4585359742352926,192.9364251011234,551.5513944007968,2.858720918622341,3673,14617.242015123367,291,4149.7013511657715
24,S0,baseline_kong_rey,2024-10-25 06:00:00,553.3088328856029,798.7821780203323,1.443646171080518,198.347699244117,553.4240087165175,2.790171052276168,3696,14623.148410081863,296,4151.6442613601685
25,S0,baseline_kong_rey,2024-10-25 06:30:00,512.6928784692865,1108.368665278797,2.161856955353034,187.9673919603891,417.04151347701554,2.2186907480468614,3342,13390.680114746094,254,3202.1770696640015
26,S0,baseline_kong_rey,2024-10-25 07:00:00,504.3381569339634,1005.3432394112365,1.9933911911861772,144.64890918128808,371.3611407223787,2.567327626763851,3345,13666.866099119186,256,3350.344864845276
27,S0,baseline_kong_rey,2024-10-25 07:30:00,510.54077194371047,866.6003002873136,1.6974164413706387,126.93173835921631,395.8608424442688,3.1186907826313788,3227,12775.436250805855,225,2766.211477279663
28,S0,baseline_kong_rey,2024-10-25 08:00:00,580.9455234810894,850.5707640193032,1.464114498933718,297.2240230197163,519.3356437091624,1.7472869064648604,3096,12246.190173268318,206,2609.842445373535
29,S0,baseline_kong_rey,2024-10-25 08:30:00,735.5742965389863,850.4556165132009,1.156179084172396,357.4809076993828,1140.3961045116391,3.1900895403080707,2995,11344.142156362534,196,2077.7509899139404
30,S0,baseline_kong_rey,2024-10-25 09:00:00,731.569457101169,845.0067648931763,1.1550602019957197,336.2052471155533,1175.150082113884,3.4953353411226895,2967,11223.995354890823,191,2021.561068534851
31,S0,baseline_kong_rey,2024-10-25 09:30:00,527.9310735179861,821.8461599930937,1.5567300377235564,162.9717022088888,396.65475297102233,2.433887279784365,2924,11750.15547657013,189,2227.7194328308105
32,S0,baseline_kong_rey,2024-10-25 10:00:00,437.2876010637479,722.7328434233207,1.6527631738590247,163.86222950275268,306.81188099790467,1.8723770690105785,2894,11992.134680867195,203,2453.5398502349854
33,S0,baseline_kong_rey,2024-10-25 10:30:00,451.120647040578,654.2665148137249,1.450313833130481,171.58177624068728,285.17322769751075,1.6620251517706681,2840,11977.568140387535,219,2668.33837223053
34,S0,baseline_kong_rey,2024-10-25 11:00:00,458.3009507569789,667.0834489947474,1.4555576371659702,177.09345065141432,294.57432810571413,1.6633835244734383,2841,11647.535410761833,232,2694.5795526504517
35,S0,baseline_kong_rey,2024-10-25 11:30:00,482.298588697753,638.6529148375772,1.3241857426164003,187.36442296802448,279.3377198371363,1.4908791936706494,2812,11550.979205489159,237,2778.326434135437
36,S0,baseline_kong_rey,2024-10-25 12:00:00,508.50153801656614,660.8253887689154,1.2995543560133451,185.08764529909178,396.3718769115254,2.1415361153415047,3122,12413.808961987495,318,3476.949547767639
